,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapour Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name
0,0,0.0,0.0,0.0,0.0,0.0,"1,2-Dichloroethane",Highly Hazardous,0.0,98.9596,83.4,-35.6,1.2454,0.78,78.89,1.4422,1.48,1.27,10.74,0.0,0.1,0.81,19.0,7.4,4.1,79.46009314,No Group,,,,,,,,,97.0,,28 Â£/L,Dichloroethane
1,1,1.0,1.0,1.0,1.0,1.0,"1,2-Dimethoxyethane",Hazardous,1.0,90.12,85.0,-58.0,0.863,0.4859,48.0,1.3813,-0.21,1.71,7.2,0.0,0.41,0.53,15.4,6.3,6.0,104.4264195,No Group,52.3,,,,,,,86.0,,,54 Â£/L,Dimethoxyethane
2,2,2.0,2.0,2.0,2.0,2.0,2-Methoxyethanol,Hazardous,1.0,76.095,124.1,-85.1,0.9647,1.544,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439,No Group,,,,,,,,,,,40 Â£/L,Methoxyethanol
3,3,3.0,3.0,3.0,3.0,3.0,Acetic acid,Problematic,2.0,60.0524,117.9,16.6,1.0446,1.056,15.7,1.372,-0.17,1.7,6.2,1.12,0.45,0.64,14.5,8.0,13.5,57.48841662,No Group,,,,,,,,,,,36 Â£/L,Acetic acid
4,4,4.0,4.0,4.0,4.0,4.0,Acetic anhydride,Problematic,2.0,102.0896,139.5,-73.4,1.082,0.843,5.11,1.3901,-0.27,2.8,20.7,0.0,0.29,0.76,16.0,11.7,10.2,94.35268022,No Group,,,,,,,,,,,40 Â£/L,Acetic anhydride
5,5,5.0,5.0,5.0,5.0,5.0,Acetone,Recommended,3.0,58.0798,56.08,-94.9,0.7845,0.32,231.0,1.3588,-0.24,2.88,20.7,0.08,0.43,0.71,15.5,10.4,7.0,74.03416189,No Group,,,,,,,96.0,,,,28 Â£/L,Acetone
6,6,6.0,6.0,6.0,6.0,6.0,Acetonitrile,Problematic,2.0,41.0524,81.6,-44.0,0.79,0.35,88.8,1.33934,-0.34,3.94,37.5,0.19,0.4,0.75,15.3,18.0,6.1,51.96506329,No Group,,,80.0,58.0,50.0,,99.0,,,,73 Â£/L,Acetonitrile
7,7,7.0,7.0,7.0,7.0,7.0,Anisole,Recommended,3.0,108.14,153.7,-37.3,0.9956,0.778,3.54,1.51791,2.11,1.36,4.3,0.0,0.32,0.73,17.8,4.1,6.7,108.6179188,No Group,,,,,,97.0,,16.0,,,32 Â£/L,
8,8,8.0,8.0,8.0,8.0,8.0,Benzene,Highly Hazardous,0.0,78.1134,80.08,5.558,0.8756,0.604,94.8,1.5011,2.13,0.0,2.275,0.0,0.1,0.59,18.4,0.0,2.0,89.21128369,Arene,,,,,,,,,,,48 Â£/L,Benzene
9,9,9.0,9.0,9.0,9.0,9.0,Benzotrifluoride,No Ranking,,146.11,103.46,-29.05,1.1886,0.5524,38.83,1.41486,3.01,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,0.0,122.9261316,No Group,,,,,,,,,,,71 Â£/L,
